Subject;task;language
1;shape;En
1;category;En
1;shape;Sw
1;category;Sw
2;shape;Sw
2;category;Sw
2;category;En
2;shape;En
3;shape;En
3;category;En
3;shape;Sw
3;category;Sw
4;shape;Sw
4;category;Sw
4;shape;En
4;category;En
5;category;En
5;shape;En
5;category;Sw
5;shape;Sw
6;category;Sw
6;shape;Sw
6;category;En
6;shape;En
7;shape;En
7;category;En
7;shape;Sw
7;category;Sw
8;shape;Sw
8;category;Sw
8;category;En
8;shape;En
9;category;En
9;shape;En
9;shape;Sw
9;category;Sw
10;category;Sw
10;shape;Sw
10;category;En
10;shape;En
11;shape;En
11;category;En
11;shape;Sw
11;category;Sw
12;shape;Sw
12;category;Sw
12;category;En
12;shape;En
13;category;En
13;shape;En
13;category;Sw
13;shape;Sw
14;category;Sw
14;shape;Sw
14;category;En
14;shape;En
15;category;En
15;shape;En
15;category;Sw
15;shape;Sw
16;category;Sw
16;shape;Sw
16;shape;En
16;category;En
17;shape;En
17;category;En
17;shape;Sw
17;category;Sw
18;shape;Sw
18;category;Sw
18;shape;En
18;category;En
19;category;En
19;shape;En
19;shape;Sw
19;category;Sw
20;category;Sw
20;shape;Sw
20;shape;En
20;category;En
21;shape;En
21;category;En
21;category;Sw
21;shape;Sw
22;category;Sw
22;shape;Sw
22;category;En
22;shape;En
23;shape;En
23;category;En
23;shape;Sw
23;category;Sw
24;shape;Sw
24;category;Sw
24;shape;En
24;category;En
