"Subject","Age","Sex","L2_start","L2_self","Months_L2_country","LexTale"
1,38,"man",9,5,0,0.9375
2,45,"man",10,1,1,0.6125
3,37,"man",7,5,1,0.8875
4,33,"man",6,7,1,1
5,33,"man",7,4,3,0.7
6,29,"man",9,5,2,0.8
7,37,"kvinna",10,3,12,0.75
8,36,"kvinna",10,5,9,0.825
9,38,"kvinna",10,5,12,0.625
10,36,"man",7,4,9,0.8
11,31,"man",10,5,0,0.95
12,31,"man",9,6,4,0.7375
13,39,"man",7,5,12,0.8125
14,37,"man",10,5,3,0.7
15,41,"kvinna",10,4,14,0.75
16,43,"man",10,5,7,0.85
17,35,"man",10,5,0,0.8
18,36,"man",6,5,12,0.85
19,56,"man",9,6,30,0.775
20,44,"man",9,4,0.5,0.9375
21,31,"kvinna",7,5,0.1,0.8
22,44,"kvinna",9,5,13,0.825
23,40,"kvinna",10,5,12,0.7375
24,31,"kvinna",9,4,3,0.775
